feature,mean_abs_shap
f0,1.180915
f11,0.08413001
f8,0.011660667
f13,0.008103673
f6,0.006557146
f9,0.0045248847
f10,0.00329109
f15,0.0026875446
f14,0.002512741
f2,0.0016050718
f3,0.0011966279
f16,0.0011864426
f1,0.0009608342
f5,0.00090483506
f4,0.0006896178
f22,0.0005871278
f7,0.00037613558
f29,0.00029455087
f25,0.00027365694
f30,0.00027260522
f27,0.0001411481
f21,8.410807e-05
f19,5.174929e-05
f28,4.4033644e-05
f18,2.8687078e-05
f12,2.2755112e-05
f26,1.4095655e-05
f24,6.1136816e-06
f20,3.8760213e-06
f23,1.6397139e-06
f17,1.4111451e-06
f31,1.1841247e-06
