video_id,duration,genre,row_index
0l3-iufiywU,470,Entertainment,1
JXzk8G9aXI8,9,Education,2
F1MAuOsOlqw,60,Music,3
p1qM75a9FeE,294,Music,4
YBuNVURWRdU,618,People &amp; Blogs,5
hpMeCem6Hss,299,Entertainment,6
FnSr820S2Mk,191,News &amp; Politics,7
K_uCyxNsHpo,639,Entertainment,8
Ea04DriyYb4,84,News &amp; Politics,9
8Y_NXBHm92w,546,News &amp; Politics,10
eQhWGnKw5Hc,235,Music,11
bdKm5hR2mBg,168,Music,12
niW4eQ6aASI,282,Entertainment,13
uPjzFINqmas,1094,People &amp; Blogs,14
s0X311VDUeg,257,Music,15
3-144RjSRWI,577,Gaming,16
rr85rpSi0yI,313,Comedy,17
Qn8dMQJlDZE,190,Comedy,18
gpY9qUbPXbM,255,News &amp; Politics,19
v97FPN2US2o,235,Entertainment,20
D-ocerKPufk,270,Music,21
QsUfsZzxi9c,667,Gaming,22
OpQlY2so3Mk,181,Comedy,23
O0f8aDrkV0Y,223,Music,24
mUN-tS7Y9iA,228,Music,25
Jpl5mWJG2Uo,177,Music,26
czwejgoH3zs,43,Entertainment,27
Dz3kroYIUkU,124,News &amp; Politics,28
kz7gHA2N6nQ,1026,Entertainment,29
oxpQslt8x5s,700,Autos &amp; Vehicles,30
IuMAHR0OtH4,16,People &amp; Blogs,31
aAgJernobg8,231,Music,32
Uxf0f27n-m4,169,Entertainment,33
i9zLv77COc8,291,Music,34
HM_fkwDB-Xg,91,Film &amp; Animation,35
YxuFoMOG-M4,123,Music,36
CiCT7NCP6BY,174,Music,37
Wc9_dsv5YYA,286,Music,38
JxAlZOn4QhM,232,Music,39
hsm4poTWjMs,252,Music,40
dktW5r4ldyo,196,Music,41
5N8YRren5Z4,260,Music,42
oAoKjxqvOHk,199,Music,43
BJ-13kw-D1s,1109,Music,44
bpmGuPhGE0Y,140,Music,45
9wjvPD4-RyE,273,Music,46
JSAfPh1A25E,197,Entertainment,47
l73FJBnjp28,213,Music,48
NYFHnIiA8gE,690,Entertainment,49
keqry2BxI3I,672,Entertainment,50
6VXAeSw3Upg,548,Music,51
1kfoxYRN6Rs,709,Autos &amp; Vehicles,52
1cnpWVyoR4Y,198,Music,53
Djy3WNLz_mM,396,Science &amp; Technology,54
s5zX6hy4bxo,278,Music,55
ol4BJbIZHW4,132,Film &amp; Animation,56
f7rq3DeFZew,224,Music,57
mBiWhzeZ_bU,791,Autos &amp; Vehicles,58
8tze9Z33K5A,924,People &amp; Blogs,59
7QJPCIBgV5g,352,People &amp; Blogs,60
qQ8domUSU7M,76,Film &amp; Animation,61
vrYcnMWWOeI,300,Film &amp; Animation,62
avgBgc210bg,95,News &amp; Politics,63
si5KwHbMn1Y,105,Entertainment,64
6i01tOMgBDU,150,Music,65
FU92piysGBg,1342,Entertainment,66
cAtazIk1IYw,489,Howto &amp; Style,67
Of_C9g9O9KY,907,People &amp; Blogs,68
N2YxXgco_68,892,Entertainment,70
IxFMyYuPPyw,1122,Entertainment,71
PORP0q8nThs,673,Film &amp; Animation,72
w4T9ZCEGpCU,7755,Sports,73
kcynVTnaHw0,701,Sports,74
wYaTFHaqtz0,106,Entertainment,75
dOMagxIVF5k,141,Music,76
LNDhIGR-83w,73,News &amp; Politics,77
smRUeVCk8eQ,1224,Sports,78
9jmBXR_giQA,542,Sports,79
nX0NDmm1K1g,279,Comedy,80
GPapqCxYT8M,695,Sports,81
HXfnWwXcs9A,962,Sports,82
Wr41FbfaOWw,747,News &amp; Politics,84
4SBBdOOvOAg,1380,Entertainment,85
TsOU7Op7sTY,661,Music,86
Tecckox0-cQ,1529,Sports,87
17IHlzpSHa8,1701,Sports,88
k2h0uXdDIPQ,280,Education,89
pldbjLuvIH8,272,Music,90
Ahh9GQaCo0s,1107,Entertainment,91
6RLNLhuLijU,229,Music,92
FivKzDV9RHA,233,Comedy,93
tqvEEqWGCyE,724,Education,94
