video_id,duration,genre,row_index
EXEc0Q45SMo,754,Entertainment,12401
AhWyTSYuXHM,249,Music,12402
FWP41MXLMGY,943,Travel &amp; Events,12403
Garf4Rz01zQ,1358,Entertainment,12404
FbsRUNI7oh4,30,Entertainment,12405
Xz-Id5ZNopM,3856,Science &amp; Technology,12406
tKgSd2-Iyqo,69,Entertainment,12407
Me5mYP41Wpo,670,Comedy,12408
LexiKXhmu54,33,People &amp; Blogs,12409
oN1wV9t8t7Q,187,Entertainment,12410
iTgBMooI17I,28,Gaming,12411
QIiSmJlcH8g,3164,Entertainment,12412
4_wOiublGjs,979,Sports,12413
4Sx9tb1-g1Y,166,Sports,12414
cbkQEgf_TAs,223,Gaming,12415
LvrLZ4yETHI,249,Gaming,12416
DRP62MGOrUo,120,Gaming,12417
BOSkp2YzTd8,206,Music,12418
WfZ8509nW5k,910,Gaming,12419
upWH93reokE,13,Entertainment,12420
xGgl9aPqCdY,1250,Gaming,12421
P0JZUIjo5KI,73,Entertainment,12422
dwq4-VApfYE,1160,Film &amp; Animation,12423
oj9y7Okr4Fk,883,Autos &amp; Vehicles,12424
SyNodFiofS8,,,12425
IedlXvV_fkM,324,Sports,12426
Lb2Yw637vcg,985,People &amp; Blogs,12427
mPLFvjg4JNE,91,Sports,12428
EK_G72kkbY8,7210,Sports,12429
PZ1EQSv226A,180,Sports,12430
tAe0yUEzAaI,254,Music,12431
oACmLZHF-qA,662,Autos &amp; Vehicles,12432
DLCZydoVaGM,129,Sports,12433
NTZ3gZmCgkU,221,Music,12434
4ScMrekpdt0,222,Entertainment,12435
ZmxW5QD7cvM,225,Music,12436
tbElF8x3zag,268,Music,12437
55IKKyFBW0Y,1112,Gaming,12438
hvB2mcWxDRs,70,Music,12439
RD0tu1cXg4Y,15,Music,12440
ENYg6pksvpE,69,News &amp; Politics,12441
QlupUk9TXEQ,1191,People &amp; Blogs,12442
s6u6aW3gmgI,162,Sports,12443
muhKU3LeluQ,632,Entertainment,12444
bxS2Y47yXOY,879,People &amp; Blogs,12445
BRR2cSBWWLw,1023,Entertainment,12446
7VI58bBRlBs,1080,Entertainment,12447
F9RTgbmO514,1436,Entertainment,12448
i0bNeBatDR8,708,Entertainment,12449
Ev_m2BEChsw,386,Entertainment,12450
gt3QV8uTfl4,1633,Gaming,12451
zEbzTLDtKVw,874,Autos &amp; Vehicles,12452
J171KoTvfnY,333,Entertainment,12453
GGko6uK-Fik,1446,Autos &amp; Vehicles,12454
rsPo__w7r70,1256,Howto &amp; Style,12455
4eKXwKDdXYA,1800,Gaming,12457
voaUodnKppo,620,Sports,12458
HI-AJA1flWk,568,Entertainment,12459
kkw0JjB6v6g,825,Entertainment,12460
guQCnNAWGo4,63,Sports,12461
sOgvIFg95sY,471,Entertainment,12462
Cg6PPblyf_Q,179,Sports,12463
4nozXP4ffg0,1389,Howto &amp; Style,12464
bGvxFMAwdps,,,12465
0tTE0hhrvvo,317,Sports,12466
p-NQtGiLWzE,762,People &amp; Blogs,12467
ohhjtC0ulDA,3290,Sports,12468
Ks2ryOEZD9I,313,Sports,12469
jYCidEWs7QE,917,Gaming,12470
MTUZoxO7ewg,134,Film &amp; Animation,12471
tuRybpNyTgA,185,Music,12472
tmy2ZwN5uHk,6437,Entertainment,12473
ASUOccIgKmE,143,Sports,12474
H7Il_fClLEg,170,Sports,12475
z_h8NNQ842I,152,Comedy,12476
7_qsV3wUKiU,1554,Entertainment,12477
uFSNZeWW91o,1134,Entertainment,12478
sBxe4cQzUIY,67,News &amp; Politics,12479
CSPqM9BszG4,263,Gaming,12480
G7-zh7Sebr8,285,Travel &amp; Events,12481
gy7V1gOqQLc,1187,Gaming,12482
6JfKpodapBA,28,Entertainment,12483
