video_id,duration,genre,row_index
2lBFoxLvYHs,102,Gaming,24801
z5y2BMxrAqw,62,Gaming,24802
wR4qeW4jdWE,763,Sports,24803
5zSvLaWMcQc,,,24804
jGjvJd9f8JU,495,Gaming,24805
nlnMDttgTbk,227,Music,24806
daqICBRm1sU,53,Gaming,24807
TdUvWRUph7Q,214,Entertainment,24808
HpmNcAxCz38,566,Gaming,24809
YXvVzqkX21Y,,,24810
UhUgQJ4B6vg,987,Entertainment,24811
5DC7Nr4LTp8,801,Gaming,24812
k660y7johY0,792,Autos &amp; Vehicles,24813
gMG5h_fEE-g,775,Gaming,24814
dLpI0mbgQeU,484,Gaming,24815
_kwHaa-7Pbk,901,Gaming,24816
gJG8CozBI94,594,Entertainment,24818
m1AGB3RTIjc,904,Gaming,24819
7ZefOlYK4iY,,,24820
5VYb3B1ETlk,113,Entertainment,24821
z53JjZL5WsI,149,Comedy,24822
BAHavA8g1fA,628,Sports,24823
nhlKjFKFdwQ,479,Entertainment,24824
djEUCOoMc_g,594,Entertainment,24825
IiSwNerF0g8,326,Sports,24826
c3nQwcE35Bo,560,Entertainment,24827
hCc0OsyMbQk,618,Comedy,24828
uQKlIGD3Tls,398,Sports,24829
-2_zzwi3Q2Y,1514,Autos &amp; Vehicles,24830
R2xuAfYBP7o,2841,People &amp; Blogs,24831
P65glIK_pSQ,808,Entertainment,24832
otua__OANRw,60,Gaming,24833
z2_Lrg6rRks,208,Music,24834
mw7lZDo73_I,934,Entertainment,24835
MVSWSPqtDqU,2209,Entertainment,24836
TQU1jKslOME,568,Sports,24837
JxeIYFCX3Vs,762,Howto &amp; Style,24838
_DgEtRP8DgM,985,Entertainment,24839
YOuKcBriUxM,774,Entertainment,24840
lowQu6PxZ6M,1095,Sports,24841
6IKvuvAiHSM,662,Entertainment,24842
acWYWFmbtsw,411,Sports,24843
G0UaApV1T2Q,915,People &amp; Blogs,24844
m-uCWhvGAwI,220,Music,24845
WMrj90EplYY,1026,Gaming,24846
uf0wvwCbVzE,1950,Gaming,24847
GtNuZiBy6fg,533,Gaming,24848
Oyw4fVeSQJo,193,Sports,24849
rzi_iXUTuXY,1092,Sports,24850
3oNQpM8Twh8,584,People &amp; Blogs,24851
WmZHYL03FUY,1233,Entertainment,24852
EYII4O7vCEw,192,Entertainment,24853
3b0LkhClpSE,1350,Travel &amp; Events,24854
bS1XwEFBeDo,59,Entertainment,24855
SAvxszzfFjo,736,Science &amp; Technology,24856
EyUw4Y63G68,211,Entertainment,24857
zhamxkmgpgM,130,News &amp; Politics,24858
Cgogkk9zZ0Y,936,People &amp; Blogs,24859
wlKevA_P6Sw,6369,Entertainment,24860
I9bnmES7O74,106,Science &amp; Technology,24861
6vdLLfCzMDI,121,Entertainment,24862
7eakWSv2zhM,31,Sports,24863
nmjI3XEVSuc,93,Entertainment,24864
pdqwcNw92Vc,16,Sports,24865
gSVEE0JIbRs,851,Sports,24866
5aImPPvVSPQ,191,Sports,24867
vaNa34yEEWs,405,People &amp; Blogs,24868
4372QYiPZB4,2800,Science &amp; Technology,24869
AKZXpSr83Og,158,Entertainment,24870
6w1g3-HXcSc,78,Howto &amp; Style,24871
I5rqu_xD4ho,1002,People &amp; Blogs,24872
mrFfGptVzrI,883,Howto &amp; Style,24873
Iqnzswha8xA,2051,Autos &amp; Vehicles,24874
PPbcXf3xfBs,203,Entertainment,24875
lU7yBv3tkwA,201,Music,24876
ww9hZfgC2d8,214,Music,24877
_baz13DY6MQ,1008,Gaming,24878
oYFLrRj8ODE,1173,Science &amp; Technology,24879
ZhKci-HV7aU,1189,Entertainment,24880
kY_8VkjoTpI,911,Gaming,24881
N1J8kr-OF_c,992,Entertainment,24882
ejWkrd3t3II,51,Entertainment,24883
jQZROCPKbYQ,284,Gaming,24884
5DdvsHDbCJg,65,Gaming,24885
fXW-QjBsruE,2273,Entertainment,24886
033FWxL22A0,199,Gaming,24887
XGIbnq0zdI8,257,Music,24888
IW849Ce2hnA,722,Gaming,24889
dVpEEBcE8tc,1097,Education,24890
6fG8qq_T0Yw,1136,Entertainment,24891
Z5PJNOg6cyM,951,People &amp; Blogs,24892
OioHqHm4Rfw,1180,People &amp; Blogs,24893
RNi7y3HBRz0,2465,News &amp; Politics,24894
0LRJJrbp0LU,601,Gaming,24895
mAakjn10qfI,551,Sports,24896
hP1pi7IcfJs,260,Music,24897
e-bljSstCV4,1256,Howto &amp; Style,24898
7QhM7LEqG28,751,Howto &amp; Style,24899
CiP2QcwLvsk,519,People &amp; Blogs,24900
VfftVkqfGmg,230,Gaming,24901
BFSAeSyxix4,,,24902
Y7BZa8PstFw,1172,Gaming,24903
YT7XlxEXcsI,577,Comedy,24904
GcYy_5KMpr4,,,24905
t8r3UwCUCfw,403,Howto &amp; Style,24906
BLXh_AK_PGU,498,Gaming,24907
