video_id,comment_index,cid,author,time,votes,text,pos,neu,neg,compound
-AiCVO7iVN0,1,Ugy3qtnmZoMmBimJd-B4AaABAg,@inoxtag,4 years ago,11K,J’espère que vous avez bien aimé ce format ❤️ ça change de d’habitude 🙏 Merci à tous 💪🤩,0.0,1.0,0.0,0.0
-AiCVO7iVN0,2,Ugxx4dXyX2HiUy5G4_J4AaABAg,@LucieCornet-d2j,9 days ago,0,en vrai inox tu refait une video comme sa je vien et je le fais avec toi,0.0,1.0,0.0,0.0
-AiCVO7iVN0,3,UgzPPMwRTt-ZnGrGNbZ4AaABAg,@LucieCornet-d2j,9 days ago,0,wejdene arret tu a moins de cerveau que ado tu vas vrm pas bien,0.0,1.0,0.0,0.0
-AiCVO7iVN0,4,UgxwQ71T5GTY2ENlTYp4AaABAg,@AHMIDOUDU94,1 month ago,1,2025 toujours la,0.0,1.0,0.0,0.0
-AiCVO7iVN0,5,Ugy4Y9apDaOgP3xeCHV4AaABAg,@jessim667,1 month ago,0,Gg Grégoire,0.688,0.312,0.0,0.296
-AiCVO7iVN0,6,UgwN0x7NJxqgfcxx_ad4AaABAg,@CELINE-z9w5c,1 month ago,0,Tu est le boss. ❤,0.0,1.0,0.0,0.0
-AiCVO7iVN0,7,Ugw5bQY3H1rAbO-3NJJ4AaABAg,@Carlfaitdestrucs,2 months ago,0,En 2025 toujours un banger !!!!,0.0,1.0,0.0,0.0
-AiCVO7iVN0,8,Ugy_bzORljt_qJeHOnh4AaABAg,@Ilan973,3 months ago,1,❤,0.0,0.0,0.0,0.0
-AiCVO7iVN0,9,Ugw5Qr8tX_dZUSAjspl4AaABAg,@zaroxtekken,3 months ago,0,Plus jamais tu ramène wejdene,0.0,1.0,0.0,0.0
-AiCVO7iVN0,10,Ugx0vMiNDnMn5WY2Vit4AaABAg,@mikoooooooooooooooooo,3 months ago,0,18:55 😅,0.0,1.0,0.0,0.0
-AiCVO7iVN0,11,Ugwl0WSH-z0UjlHAqcV4AaABAg,@Chadox2512,4 months ago,0,Gg Grégoire,0.688,0.312,0.0,0.296
-AiCVO7iVN0,12,UgxqrMN59autNfTxw194AaABAg,@Kais_du21,6 months ago,0,Gg Grégoire,0.688,0.312,0.0,0.296
-AiCVO7iVN0,13,UgyZ4O2QkkMqDm4XtyN4AaABAg,@christineedinval9935,7 months ago,0,Qui est en 2025,0.0,1.0,0.0,0.0
-AiCVO7iVN0,14,Ugy2TZwX1KHthGnm8Wp4AaABAg,@ARNAUDDÉPANNAGE,7 months ago,0,"Wejdene, c’est une mauvaise perdante",0.0,1.0,0.0,0.0
-AiCVO7iVN0,15,Ugxn0EsmMFk8m8rfEId4AaABAg,@ARNAUDDÉPANNAGE,7 months ago,0,"Wejdene, c’est une mauvaise perdante",0.0,1.0,0.0,0.0
-AiCVO7iVN0,16,UgwelqCCtQ9M6xzgnrd4AaABAg,@paul1neoff,7 months ago,0,Weshden*,0.0,1.0,0.0,0.0
-AiCVO7iVN0,17,UgyhA4VGCehCBpXE-vB4AaABAg,@paul1neoff,7 months ago,0,Je donne elle est bizarre elle dit nous on a réfléchi elle a pas du tout réfléchi bref😂😂😂😂,0.0,0.787,0.213,-0.4215
-AiCVO7iVN0,18,UgzTS8eM8LmXqh1rMal4AaABAg,@MalikaAlahyan-hl4jm,7 months ago,0,GG Gregoire,0.746,0.254,0.0,0.4466
-AiCVO7iVN0,19,UgzeWMyDfMNpV1rbkEB4AaABAg,@laya2r,8 months ago,0,Non en 2025 😂😂,0.0,1.0,0.0,0.0
-AiCVO7iVN0,20,UgyBvr326Y2R-rWghMF4AaABAg,@raissaclemence3244,8 months ago,1,Qui regarde encore en 2025,0.0,1.0,0.0,0.0
-AiCVO7iVN0,21,Ugy3qtnmZoMmBimJd-B4AaABAg.9JQTJ8P1APC9JQTKXaZSqs,@footballhd8407,4 years ago (edited),63,Ne lis pas Mon pseudo,0.0,1.0,0.0,0.0
-AiCVO7iVN0,22,Ugy3qtnmZoMmBimJd-B4AaABAg.9JQTJ8P1APC9JQTKuJXWf5,@michourediffusion-nonoffic7318,4 years ago (edited),162,Le boss,0.0,1.0,0.0,0.0
-AiCVO7iVN0,23,Ugy3qtnmZoMmBimJd-B4AaABAg.9JQTJ8P1APC9JQTL6KXXn4,@KingJim16,4 years ago (edited),46,J'ai 3709 abo..encore 1 plz 🙏😥,0.245,0.755,0.0,0.0772
-AiCVO7iVN0,24,Ugy3qtnmZoMmBimJd-B4AaABAg.9JQTJ8P1APC9JQTLYG03nJ,@Ismo.,4 years ago,14,Yo,0.0,1.0,0.0,0.0
-AiCVO7iVN0,25,Ugy3qtnmZoMmBimJd-B4AaABAg.9JQTJ8P1APC9JQTLk8Z1Iy,@yaniselkrout9296,4 years ago,17,Yo je te kiffe inoxtag,0.0,1.0,0.0,0.0
-AiCVO7iVN0,26,Ugy3qtnmZoMmBimJd-B4AaABAg.9JQTJ8P1APC9JQTLpwAY94,@Mohammed13047,4 years ago,10,Cooll,0.0,1.0,0.0,0.0
-AiCVO7iVN0,27,Ugy3qtnmZoMmBimJd-B4AaABAg.9JQTJ8P1APC9JQTMNx1BAz,@meline6825,4 years ago,8,💘❤️,0.0,1.0,0.0,0.0
-AiCVO7iVN0,28,Ugy3qtnmZoMmBimJd-B4AaABAg.9JQTJ8P1APC9JQTMQaHFrE,@giugiu-pg2843,4 years ago,7,Cc,0.0,1.0,0.0,0.0
-AiCVO7iVN0,29,Ugy3qtnmZoMmBimJd-B4AaABAg.9JQTJ8P1APC9JQTMluoW3F,@Ismo.,4 years ago,7,J’espère que tu peux me répondre un jour,0.0,1.0,0.0,0.0
-AiCVO7iVN0,30,Ugy3qtnmZoMmBimJd-B4AaABAg.9JQTJ8P1APC9JQTN0T8xxZ,@fatouGandega2022,4 years ago,8,Salut inox tu es le boss,0.0,1.0,0.0,0.0
-AiCVO7iVN0,31,Ugy3qtnmZoMmBimJd-B4AaABAg.9JQTJ8P1APC9JQTNToiKVv,@adil.ferhat5126,4 years ago,5,Abonné vous 🤣,0.0,1.0,0.0,0.0
-AiCVO7iVN0,32,Ugy3qtnmZoMmBimJd-B4AaABAg.9JQTJ8P1APC9JQTNiyJcg1,@Liixy_,4 years ago,7,J’avais vu les stories sur insta 😂,0.0,1.0,0.0,0.0
-AiCVO7iVN0,33,Ugy3qtnmZoMmBimJd-B4AaABAg.9JQTJ8P1APC9JQTO0pMda7,@tugceaslan6130,4 years ago,4,Yo,0.0,1.0,0.0,0.0
-AiCVO7iVN0,34,Ugy3qtnmZoMmBimJd-B4AaABAg.9JQTJ8P1APC9JQTO0xc3dl,@learoblox2868,4 years ago,5,J’adore,0.0,1.0,0.0,0.0
-AiCVO7iVN0,35,Ugy3qtnmZoMmBimJd-B4AaABAg.9JQTJ8P1APC9JQTOHVXjkD,@emertenat2,4 years ago,4,tu gére mon reuf 😽😽,0.0,1.0,0.0,0.0
-AiCVO7iVN0,36,Ugy3qtnmZoMmBimJd-B4AaABAg.9JQTJ8P1APC9JQTOQ5jd9e,@reiak8162,4 years ago,6,J’espère que tu va voir,0.0,1.0,0.0,0.0
-AiCVO7iVN0,37,Ugy3qtnmZoMmBimJd-B4AaABAg.9JQTJ8P1APC9JQTOmcBQmv,@AkitaYt,4 years ago,3,Cimer inox le boss,0.0,1.0,0.0,0.0
-AiCVO7iVN0,38,Ugy3qtnmZoMmBimJd-B4AaABAg.9JQTJ8P1APC9JQTOovr-kN,@lenasliwinski4703,4 years ago,3,Ta vidéo et trop bien elle et trop drôle ❤ et mon tik tok c fan_michou_0,0.0,1.0,0.0,0.0
-AiCVO7iVN0,39,Ugy3qtnmZoMmBimJd-B4AaABAg.9JQTJ8P1APC9JQTPEOPKxB,@weshmdr6167,4 years ago,6,Il t’on rien fait pour ton annive??,0.0,1.0,0.0,0.0
-AiCVO7iVN0,40,Ugy3qtnmZoMmBimJd-B4AaABAg.9JQTJ8P1APC9JQTPltIvnh,@Qzzkyuu,4 years ago,6,Redaro  on s'en fou,0.0,1.0,0.0,0.0
-AiCVO7iVN0,41,Ugy3qtnmZoMmBimJd-B4AaABAg.9JQTJ8P1APC9JQTPv_Q4hW,@noetheil-poullias867,4 years ago,6,arrêtez de faire vos pub ici ptn on s’en blc de vos chaîne,0.0,1.0,0.0,0.0
-AiCVO7iVN0,42,Ugy3qtnmZoMmBimJd-B4AaABAg.9JQTJ8P1APC9JQTQ4dBBYD,@jessicacurdypeillex4824,4 years ago,4,joyeux anniversaire en retard(je te l avais dit sur insta le reuf :D),0.0,1.0,0.0,0.0
-AiCVO7iVN0,43,Ugy3qtnmZoMmBimJd-B4AaABAg.9JQTJ8P1APC9JQTQ5EqFqf,@btissam9109,4 years ago,4,J ai like,0.714,0.286,0.0,0.3612
